NAME;TEXT_SHORT;ARTICLE_ID;ORDER_ID;SUPPLIER;PHOTO;SWEIGHT
Ablageschale_Hosen_9132925;Ablageschale für Hosenhalter Amari;9132925;9132925;Hettich;G9_Amari_Basket_TA.jpg;0
Aboa_Ø65_Ss_9070138;Einlassgriff Aboa Durchmesser 65 mm, Edelstahl gebürstet;17412;9070138;Hettich;p_9070138.jpg;0
Actro_SiSy_19_40_270_9150456;Actro Auszugssystem mit Silent System, 270 mm, 40 kg, 19 mm;9150456;9150456;Hettich;Fuehrung.jpg;0
Actro_SiSy_19_40_400_9150460;Actro Auszugssystem mit Silent System, 400 mm, 40 kg, 19 mm;9150460;9150460;Hettich;Fuehrung.jpg;0
Actro_SiSy_19_40_500_9150462;Actro Auszugssystem mit Silent System, 500 mm, 40 kg, 19 mm;9150462;9150462;Hettich;Fuehrung.jpg;0
AT_alu_Front_1140_w_9123099;ArciTech Aluminium Frontprofil / 1140 mm, weiß;9123099;9123099;Hettich;InnenProfil94wss.jpg;0
AT_Frontstabilisator_9123080;ArciTech Front Stabilisierer (from 600 mm);9123080;9123080;Hettich;VerbinderMittel.jpg;0
AT_Frontverb_094_w_9123084;ArciTech Connector for Frontprofil 94 mm, weiß;9123084;9123084;Hettich;InnenVerbinder94wss.jpg;0
AT_KS_078_500_w_9234492;ArciTech Auszugsset, 78 mm / 500 mm, weiß;9234492;9234492;Hettich;z78_2wss.jpg;0
AT_KS_094_270_w_9149294;ArciTech Auszugsset, 94 mm / 270 mm, weiß;9149294;9149294;Hettich;D55_SK_94_94__wss_001.jpg;0
AT_KS_094_400_w_9149299;ArciTech Auszugsset, 94 mm / 400 mm, weiß;9149299;9149299;Hettich;D55_SK_94_94__wss_001.jpg;0
AT_KS_094_500_w_9149302;ArciTech Auszugsset, 94 mm / 500 mm, weiß;9149302;9149302;Hettich;D55_SK_94_94__wss_001.jpg;0
AT_KS_126_270_w_9149307;ArciTech Auszugsset, 126 mm / 270 mm, weiß;9149307;9149307;Hettich;D55_SK_126_126_wss_001.jpg;0
AT_KS_126_400_w_9149310;ArciTech Auszugsset, 126 mm / 400 mm, weiß;9149310;9149310;Hettich;D55_SK_126_126_wss_001.jpg;0
AT_KS_126_500_w_9149312;ArciTech Auszugsset, 126 mm / 500 mm, weiß;9149312;9149312;Hettich;D55_SK_126_126_wss_001.jpg;0
Ausziehbarer_Hosenhalt_9132916;Telescopic Amari Hosenhalter, 500-600;9132916;9132916;Hettich;G9_9132916_19_TA.jpg;0
Ausziehbarer_Hosenhalt_9132917;Telescopic Amari Hosenhalter, 600-700;9132917;9132917;Hettich;G9_9132916_19_TA.jpg;0
Ausziehbarer_Hosenhalt_9132918;Telescopic Amari Hosenhalter, 700-800;9132918;9132918;Hettich;G9_9132916_19_TA.jpg;0
Ausziehbarer_Hosenhalt_9132919;Telescopic Amari Hosenhalter, 800-900;9132919;9132919;Hettich;G9_9132916_19_TA.jpg;0
Bed_Tisch;;;;;Connector_Bed_Table.JPG;0
Bett_Fuß_L;;;;;Connector_Bed_Foot.JPG;0
